,AS_rank_iso,AS_rank_continent,is_personal_AS,peeringDB_info_scope,peeringDB_info_traffic,peeringDB_info_type,peeringDB_info_ratio,ASDB_C1L1,ASDB_C1L2,peeringDB_policy_general,peeringDB_fac_count,peeringDB_ix_count,AS_rank_provider,AS_rank_customer,AS_rank_peer,AS_rank_total,AS_hegemony,cti_origin,cti_top,AS_rank_numberAsns,AS_rank_numberPrefixes,AS_rank_numberAddresses,AS_rank_source
AS_rank_iso,1.0,0.9989989492905573,0.1652674700541049,0.2993579231845234,0.02062314809534486,0.1411147565957273,0.16423462586117327,0.1774247573926525,0.063715766030993,0.1779721119543837,0.19234380493317213,0.22818646270752252,0.3884816328758885,0.13785724088298917,0.2718570654786139,0.34210092672099723,0.021279947738576468,0.4371415854209162,0.2115073761319753,0.30472361033706674,0.303868516091854,0.4012465532872986,0.9883375812972769
AS_rank_continent,0.9989989492905573,1.0,0.09822256037067234,0.30542221250786217,0.0063521202766916645,0.13305549434340572,0.12047131865279481,0.21401830795309174,0.17504499487705374,0.1339945165884875,0.10827528000518048,0.14496607388163485,0.30049089833886206,0.1060131763349039,0.1913053986956657,0.274899134013731,0.011122073956142795,0.17902052074521024,0.05730785738628433,0.2937938491398142,0.2277901604463251,0.30874949308600297,0.954265535194641
is_personal_AS,0.1652674700541049,0.09822256037067234,1.0,0.1707419394580368,-0.0015408911243369005,0.35590552077512655,0.12258883418028765,0.06765165892782944,0.08106494058678707,0.12024455271891911,0.01875895665324859,0.09465804795060646,-0.05950163185410209,-0.018469272144329422,-0.001182178558775211,-0.03837344293779866,-0.0018859564725940163,-0.013090934430973172,-0.00258672300619887,-0.023522713574814048,-0.05367458935779344,-0.06824264865790468,0.10212502848445544
peeringDB_info_scope,0.2993579231845234,0.30542221250786217,0.1707419394580368,1.0,0.08857300550859139,0.4018213640460164,0.5242647512317469,0.09499646392368814,0.10968138891151971,0.492646028305305,0.6003680301091063,0.6643086738127227,0.32152371738433333,0.39374034526096163,0.5218889460094178,0.508514453648676,0.07194001550723172,0.19327608973053492,0.10396065874562921,0.3693808267440112,0.43448644117027135,0.3480233679589153,0.31348678011007786
peeringDB_info_traffic,0.02062314809534486,0.0063521202766916645,-0.0015408911243369005,0.08857300550859139,1.0,0.0644945861564924,0.06839712306925902,0.018757457322282966,0.02165884668340075,0.05952296232763929,0.11852622060609865,0.09416973838536659,0.03075938718077643,0.10715347564696737,0.07727542244351733,0.07876394628906017,0.4168461673405773,0.04551767727049331,0.12337002366292732,0.13036234250850062,0.08396800593243095,0.04171372090376576,0.0056494698105744225
peeringDB_info_type,0.1411147565957273,0.13305549434340572,0.35590552077512655,0.4018213640460164,0.0644945861564924,1.0,0.5345503371098085,0.14153620717840198,0.13737461433944817,0.4949617465207357,0.5978289808856757,0.660765442034719,0.3461824264942172,0.45407626699048714,0.51806169297889,0.5277811448140496,0.0653435042906929,0.17922402242936358,0.0899457234512413,0.43323581634144864,0.47170762677970424,0.3770904310315453,0.14218542436875428
peeringDB_info_ratio,0.16423462586117327,0.12047131865279481,0.12258883418028765,0.5242647512317469,0.06839712306925902,0.5345503371098085,1.0,0.11984776516954411,0.14022885876964908,0.4864702281291493,0.569557750094706,0.6500119495708508,0.32368829326233,0.39154571238301855,0.49925095521879176,0.5026413788985737,0.04124054614040755,0.16727631566707019,0.05951353815930517,0.36568994125650295,0.4353401237580551,0.35198525399902875,0.12924169090786128
ASDB_C1L1,0.1774247573926525,0.21401830795309174,0.06765165892782944,0.09499646392368814,0.018757457322282966,0.14153620717840198,0.11984776516954411,1.0,0.7754997352095213,0.1396517979230387,0.18919817564739672,0.20142450252647884,0.27208139801782266,0.2051717886378657,0.19240620369924513,0.2604701531254089,0.017832341929712347,0.11608674877836055,0.029319912488403873,0.20129787085504533,0.29756957079837115,0.3041419282100969,0.22911118050423318
ASDB_C1L2,0.063715766030993,0.17504499487705374,0.08106494058678707,0.10968138891151971,0.02165884668340075,0.13737461433944817,0.14022885876964908,0.7754997352095213,1.0,0.16021936719337337,0.22259629717435972,0.23966590669716167,0.23622209298167607,0.24476922747623503,0.22578849472499443,0.2730186426596322,0.02271279233632861,0.14303189154860912,0.03661231247281199,0.23275493764481317,0.32724155066218635,0.3051221805952653,0.18557357082093043
peeringDB_policy_general,0.1779721119543837,0.1339945165884875,0.12024455271891911,0.492646028305305,0.05952296232763929,0.4949617465207357,0.4864702281291493,0.1396517979230387,0.16021936719337337,1.0,0.5386839688789906,0.6251292702525907,0.3140490122710607,0.39298298643874974,0.47295516396855425,0.48679821789648786,0.0997110763894189,0.1865301164440135,0.06512263275672034,0.3756652357444553,0.4318227188996295,0.3414730633290524,0.13190631047536902
peeringDB_fac_count,0.19234380493317213,0.10827528000518048,0.01875895665324859,0.6003680301091063,0.11852622060609865,0.5978289808856757,0.569557750094706,0.18919817564739672,0.22259629717435972,0.5386839688789906,1.0,0.6899361825875484,0.29313911367547507,0.49379369766718056,0.5832248576849342,0.5361670387484471,0.09652160453432179,0.14423110808925227,0.06951921035080086,0.48918560058085214,0.43663215550693313,0.30122228296373926,0.09625728706244063
peeringDB_ix_count,0.22818646270752252,0.14496607388163485,0.09465804795060646,0.6643086738127227,0.09416973838536659,0.660765442034719,0.6500119495708508,0.20142450252647884,0.23966590669716167,0.6251292702525907,0.6899361825875484,1.0,0.3398464149692625,0.505885329291626,0.7041184406021007,0.6168203084668042,0.06297427836187847,0.174264340171705,0.06880456972597837,0.49306265446712544,0.4631663843493058,0.3278485674466268,0.1380070329905813
AS_rank_provider,0.3884816328758885,0.30049089833886206,-0.05950163185410209,0.32152371738433333,0.03075938718077643,0.3461824264942172,0.32368829326233,0.27208139801782266,0.23622209298167607,0.3140490122710607,0.29313911367547507,0.3398464149692625,1.0,0.31834355299651274,0.3894860202978755,0.813114772749808,0.012826505889397474,0.13415456152292976,0.04203003810997861,0.33912970695702976,0.6836729059629028,0.8500651293738365,0.3039148106136761
AS_rank_customer,0.13785724088298917,0.1060131763349039,-0.018469272144329422,0.39374034526096163,0.10715347564696737,0.45407626699048714,0.39154571238301855,0.2051717886378657,0.24476922747623503,0.39298298643874974,0.49379369766718056,0.505885329291626,0.31834355299651274,1.0,0.5221869156999726,0.645704151307465,0.17275873212292764,0.3230606290226968,0.14923167687091554,0.9395441982296006,0.705403715974465,0.43855992489921597,0.10963161386426595
AS_rank_peer,0.2718570654786139,0.1913053986956657,-0.001182178558775211,0.5218889460094178,0.07727542244351733,0.51806169297889,0.49925095521879176,0.19240620369924513,0.22578849472499443,0.47295516396855425,0.5832248576849342,0.7041184406021007,0.3894860202978755,0.5221869156999726,1.0,0.8028858355282115,0.07926847386631085,0.1632801917456212,0.07770447810536753,0.5131807215098819,0.4899446997952476,0.3720193957264597,0.17238515628227732
AS_rank_total,0.34210092672099723,0.274899134013731,-0.03837344293779866,0.508514453648676,0.07876394628906017,0.5277811448140496,0.5026413788985737,0.2604701531254089,0.2730186426596322,0.48679821789648786,0.5361670387484471,0.6168203084668042,0.813114772749808,0.645704151307465,0.8028858355282115,1.0,0.0999030231687802,0.22767037214863528,0.09436298406105625,0.6396766387947163,0.7811352499960305,0.7726903871461761,0.2707970662715609
AS_hegemony,0.021279947738576468,0.011122073956142795,-0.0018859564725940163,0.07194001550723172,0.4168461673405773,0.0653435042906929,0.04124054614040755,0.017832341929712347,0.02271279233632861,0.0997110763894189,0.09652160453432179,0.06297427836187847,0.012826505889397474,0.17275873212292764,0.07926847386631085,0.0999030231687802,1.0,0.11135748130219751,0.21021843593781409,0.21051415118603364,0.12795120880471986,0.06922477367251408,0.011098475590065169
cti_origin,0.4371415854209162,0.17902052074521024,-0.013090934430973172,0.19327608973053492,0.04551767727049331,0.17922402242936358,0.16727631566707019,0.11608674877836055,0.14303189154860912,0.1865301164440135,0.14423110808925227,0.174264340171705,0.13415456152292976,0.3230606290226968,0.1632801917456212,0.22767037214863528,0.11135748130219751,1.0,0.18349367706049494,0.3149624642772259,0.34155257977013737,0.2389113135325306,0.182319624831756
cti_top,0.2115073761319753,0.05730785738628433,-0.00258672300619887,0.10396065874562921,0.12337002366292732,0.0899457234512413,0.05951353815930517,0.029319912488403873,0.03661231247281199,0.06512263275672034,0.06951921035080086,0.06880456972597837,0.04203003810997861,0.14923167687091554,0.07770447810536753,0.09436298406105625,0.21021843593781409,0.18349367706049494,1.0,0.1655482719086943,0.12349238795151486,0.06619958923508791,0.05475988724757742
AS_rank_numberAsns,0.30472361033706674,0.2937938491398142,-0.023522713574814048,0.3693808267440112,0.13036234250850062,0.43323581634144864,0.36568994125650295,0.20129787085504533,0.23275493764481317,0.3756652357444553,0.48918560058085214,0.49306265446712544,0.33912970695702976,0.9395441982296006,0.5131807215098819,0.6396766387947163,0.21051415118603364,0.3149624642772259,0.1655482719086943,1.0,0.7022746062024522,0.45810221975220183,0.29625696642993593
AS_rank_numberPrefixes,0.303868516091854,0.2277901604463251,-0.05367458935779344,0.43448644117027135,0.08396800593243095,0.47170762677970424,0.4353401237580551,0.29756957079837115,0.32724155066218635,0.4318227188996295,0.43663215550693313,0.4631663843493058,0.6836729059629028,0.705403715974465,0.4899446997952476,0.7811352499960305,0.12795120880471986,0.34155257977013737,0.12349238795151486,0.7022746062024522,1.0,0.8334254855594176,0.23687110108044607
AS_rank_numberAddresses,0.4012465532872986,0.30874949308600297,-0.06824264865790468,0.3480233679589153,0.04171372090376576,0.3770904310315453,0.35198525399902875,0.3041419282100969,0.3051221805952653,0.3414730633290524,0.30122228296373926,0.3278485674466268,0.8500651293738365,0.43855992489921597,0.3720193957264597,0.7726903871461761,0.06922477367251408,0.2389113135325306,0.06619958923508791,0.45810221975220183,0.8334254855594176,1.0,0.3198442730463295
AS_rank_source,0.9883375812972769,0.954265535194641,0.10212502848445544,0.31348678011007786,0.0056494698105744225,0.14218542436875428,0.12924169090786128,0.22911118050423318,0.18557357082093043,0.13190631047536902,0.09625728706244063,0.1380070329905813,0.3039148106136761,0.10963161386426595,0.17238515628227732,0.2707970662715609,0.011098475590065169,0.182319624831756,0.05475988724757742,0.29625696642993593,0.23687110108044607,0.3198442730463295,1.0
